Date,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2015-11-08,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,160,135,295
2014-06-10,29,Young Adults (25-34),F,France,Hauts de Seine,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,133,90,223
2016-06-10,29,Young Adults (25-34),F,France,Hauts de Seine,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,133,90,223
2014-03-10,29,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,53,45,98
2016-03-10,29,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,107,90,197
2014-05-22,44,Adults (35-64),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,185,180,365
2016-05-22,44,Adults (35-64),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,92,90,182
2014-05-04,45,Adults (35-64),F,France,Hauts de Seine,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,666,450,1116
2016-05-04,45,Adults (35-64),F,France,Hauts de Seine,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,466,315,781
2013-12-07,27,Young Adults (25-34),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,21,45,120,1121,945,2066
2015-12-07,27,Young Adults (25-34),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1175,990,2165
2013-08-25,22,Youth (<25),M,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,92,90,182
2015-08-25,22,Youth (<25),M,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,92,90,182
2014-01-03,58,Adults (35-64),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,214,180,394
2016-01-03,58,Adults (35-64),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,320,270,590
2013-10-13,23,Youth (<25),F,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,416,315,731
2015-10-13,23,Youth (<25),F,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,535,405,940
2014-03-14,25,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522
2016-03-14,25,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313
2014-03-18,39,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,374,315,689
2016-03-18,39,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,481,405,886
2014-04-18,39,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,427,360,787
2016-04-18,39,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,267,225,492
2014-03-01,30,Young Adults (25-34),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,323,315,638
2016-03-01,30,Young Adults (25-34),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,185,180,365
2013-10-03,25,Young Adults (25-34),M,France,Essonne,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,491,315,806
2015-10-03,25,Young Adults (25-34),M,France,Essonne,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,491,315,806
2014-06-05,42,Adults (35-64),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,267,225,492
2016-06-05,42,Adults (35-64),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,267,225,492
2014-02-20,40,Adults (35-64),F,France,Essonne,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,562,354,916
2016-02-20,40,Adults (35-64),F,France,Essonne,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,468,295,763
2013-08-09,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,333,295,628
2015-08-09,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,133,118,251
2013-10-11,33,Young Adults (25-34),M,France,Moselle,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,324,236,560
2015-10-11,33,Young Adults (25-34),M,France,Moselle,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,324,236,560
2013-12-29,44,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,357,295,652
2015-12-29,44,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,286,236,522
2013-10-19,30,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391
2015-10-19,30,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,71,59,130
2014-01-06,34,Young Adults (25-34),M,France,Loiret,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,495,354,849
2016-01-06,34,Young Adults (25-34),M,France,Loiret,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,495,354,849
2014-04-19,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391
2016-04-19,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391
2013-12-31,24,Youth (<25),M,France,Hauts de Seine,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,889,590,1479
2015-12-31,24,Youth (<25),M,France,Hauts de Seine,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,622,413,1035
2014-05-14,20,Youth (<25),F,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,71,59,130
2016-05-14,20,Youth (<25),F,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,71,59,130
2013-08-10,21,Youth (<25),F,France,Yveline,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,433,413,846
2015-08-10,21,Youth (<25),F,France,Yveline,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,309,295,604
2014-05-21,23,Youth (<25),M,France,Seine et Marne,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,428,354,782
2016-05-21,23,Youth (<25),M,France,Seine et Marne,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391
2013-11-03,40,Adults (35-64),M,France,Val de Marne,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,666,590,1256
2015-11-03,40,Adults (35-64),M,France,Val de Marne,Accessories,Bike Stands,All-Purpose Bike Stand,12,59,159,799,708,1507
2014-04-15,30,Young Adults (25-34),M,France,Loiret,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,495,354,849
2016-04-15,30,Young Adults (25-34),M,France,Loiret,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,413,295,708
2013-07-01,37,Adults (35-64),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,635,472,1107
2015-07-01,37,Adults (35-64),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,635,472,1107
2014-04-04,21,Youth (<25),F,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,571,472,1043
2016-04-04,21,Youth (<25),F,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,714,590,1304
2014-04-20,24,Youth (<25),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,238,177,415
2016-04-20,24,Youth (<25),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,79,59,138
2013-09-11,19,Youth (<25),M,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,571,472,1043
2015-09-11,19,Youth (<25),M,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,642,531,1173
2014-02-22,22,Youth (<25),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,238,177,415
2016-02-22,22,Youth (<25),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,159,118,277
2014-03-10,60,Adults (35-64),F,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,714,531,1245
2016-03-10,60,Adults (35-64),F,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,11,59,159,873,649,1522
2013-11-27,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,8,3,9,31,24,55
2015-11-27,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,9,3,9,35,27,62
2014-01-18,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,23,3,9,88,69,157
2014-01-18,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,108,84,192
2016-01-18,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,24,3,9,92,72,164
2016-01-18,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,25,3,9,96,75,171
2014-05-21,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,15,12,27
2014-05-21,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9,38,30,68
2016-05-21,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,15,12,27
2016-05-21,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,11,3,9,42,33,75
2013-09-28,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,34,32,66
2013-09-28,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,53,50,103
2015-09-28,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,36,34,70
2015-09-28,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,53,50,103
2014-01-15,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,32,30,62
2014-01-15,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,29,28,57
2016-01-15,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,29,28,57
2014-04-24,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
2014-04-24,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4
2016-04-24,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,21,20,41
2016-04-24,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,6,6,12
2013-07-09,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,23,22,45
2013-07-09,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49
2015-07-09,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,17,16,33
2015-07-09,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49
2014-06-05,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,8,8,16
2014-06-05,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,29,28,57
2016-06-05,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,8,8,16
2016-06-05,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49
2013-07-06,61,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,27,26,53
2013-07-06,61,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,61,58,119
2015-07-06,61,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,23,22,45
2015-07-06,61,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,57,54,111
2013-09-27,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,59,52,111
2013-09-27,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,9,8,17
2015-09-27,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,63,56,119
2015-09-27,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,5,4,9
2014-01-13,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,34,30,64
2014-01-13,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,36,32,68
2016-01-13,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,29,26,55
2016-01-13,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,32,28,60
2013-11-02,57,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
2013-11-02,57,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,59,56,115
2015-11-02,57,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,15,14,29
2015-11-02,57,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,63,60,123
2013-08-18,37,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,60,50,110
2015-08-18,37,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,65,54,119
2014-07-04,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,32,30,62
2014-07-04,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
2016-07-04,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49
2016-07-04,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,23,22,45
2014-02-03,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,18,3,9,102,54,156
2014-02-03,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,2,3,9,11,6,17
2016-02-03,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,15,3,9,85,45,130
2016-02-03,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,3,3,9,17,9,26
2014-03-14,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,21,3,9,118,63,181
2014-03-14,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,11,3,9,62,33,95
2016-03-14,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,113,60,173
2016-03-14,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,9,3,9,51,27,78
2013-07-22,28,Young Adults (25-34),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,70,36,106
2013-07-22,28,Young Adults (25-34),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,30,3,9,175,90,265
2015-07-22,28,Young Adults (25-34),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9,58,30,88
2015-07-22,28,Young Adults (25-34),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,27,3,9,157,81,238
2013-11-06,52,Adults (35-64),F,France,Nord,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,58,36,94
2015-11-06,52,Adults (35-64),F,France,Nord,Accessories,Bottles and Cages,Road Bottle Cage,14,3,9,68,42,110
2013-12-04,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,18,3,9,79,54,133
2015-12-04,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,17,3,9,74,51,125
2014-02-01,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,4,3,7
2016-02-01,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,4,3,7
2014-05-04,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,4,3,7
2014-05-04,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,26,18,44
2016-05-04,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,3,3,9,13,9,22
2016-05-04,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,26,18,44
2014-03-12,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,50,38,88
2014-03-12,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,21,16,37
2016-03-12,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,45,34,79
2016-03-12,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,27,20,47
2014-06-03,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,72,54,126
2014-06-03,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,80,60,140
2016-06-03,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,74,56,130
2016-06-03,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,31,2,5,82,62,144
2013-08-16,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,114,78,192
2015-08-16,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,123,84,207
2014-06-01,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,17,3,9,74,51,125
2014-06-01,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,13,3,9,57,39,96
2016-06-01,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,16,3,9,70,48,118
2016-06-01,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,53,36,89
2013-07-05,46,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,34,32,66
2013-07-05,46,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
2015-07-05,46,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,34,32,66
2015-07-05,46,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
2013-12-31,46,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,11,10,21
2013-12-31,46,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,21,20,41
2015-12-31,46,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,15,14,29
2015-12-31,46,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,23,22,45
2013-11-25,24,Youth (<25),M,France,Loir et Cher,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,7,6,13
2013-11-25,24,Youth (<25),M,France,Loir et Cher,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,66,54,120
2015-11-25,24,Youth (<25),M,France,Loir et Cher,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,10,8,18
2015-11-25,24,Youth (<25),M,France,Loir et Cher,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,64,52,116
2013-08-10,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,15,3,9,66,45,111
2013-08-10,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,88,60,148
2015-08-10,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,53,36,89
2015-08-10,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,18,3,9,79,54,133
2014-01-26,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,14,3,9,61,42,103
2014-01-26,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,13,3,9,57,39,96
2016-01-26,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,53,36,89
2016-01-26,24,Youth (<25),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,11,3,9,48,33,81
2013-10-01,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,29,30,59
2013-10-01,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,49,50,99
2015-10-01,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,25,26,51
2015-10-01,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,51,52,103
2013-09-13,33,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,21,20,41
2013-09-13,33,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4
2015-09-13,33,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
2015-09-13,33,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,6,6,12
2013-11-24,34,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49
2013-11-24,34,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,57,54,111
